"Ref.","Nombre","","Impuesto","Costo","Precio","Precio + Imp."
"FASC T","Cefaclor 500mg  c/15 caps","","Excento de ","$144.90 ","$280.00 ","$280.00 "
"FACICL","Cefaclor SUSPENCION ","","Excento de ","$83.79 ","$178.00 ","$178.00 "
"BIXELO","CEFACLOR SUSPENSION ","","Excento de ","$51.20 ","$110.00 ","$110.00 "
"CEPOTE","CEFADROXILO ","","Excento de ","$41.77 ","$85.00 ","$85.00 "
"TEROX","Cefadroxilo Susp. 250mg/5ml  ","","Excento de ","$35.66 ","$65.00 ","$65.00 "
"NIXELA","Cefalexina 250mg/5ml ","","Excento de ","$25.80 ","$60.00 ","$60.00 "
"CEFALV","Cefalexina 500mg c/12 caps","","Excento de ","$37.07 ","$80.00 ","$80.00 "
"CEFAL T ","Cefalexina 500mg c/20 caps","","Excento de ","$50.29 ","$108.00 ","$108.00 "
"NIXELA","Cefalexina 500mg Caps ","","Excento de ","$36.50 ","$78.00 ","$78.00 "
"CEFALE","CEFALEXINA 500MG ","","Excento de ","$42.84 ","$95.00 ","$95.00 "
"CEFALE","Cefalexina Susp 250mg/5ml","","Excento de ","$34.02 ","$75.00 ","$75.00 "
"CEFAL ","Cefalexina Susp. 250mg/5ml ","","Excento de ","$35.25 ","$75.00 ","$75.00 "
"CEFAXO","CEFAXONA L.M ","","Excento de ","$50.00 ","$90.00 ","$90.00 "
"CEFIXIM","CEFIXIMA SUSPENSION   ","","Excento de ","$112.41 ","$229.00 ","$229.00 "
"CEFT","Ceftriaxona 1gr sol. Iny. ","","Excento de ","$16.72 ","$50.00 ","$50.00 "
"AMCEF ","Ceftriaxona 1gr. sol. Iny.  c/3.","","Excento de ","$25.98 ","$80.00 ","$80.00 "
"XONATI","Ceftriaxona 1gr. Sol. Iny. 3.5","","Excento de ","$14.30 ","$57.00 ","$57.00 "
"AMC IM","Ceftriaxona 500mg Sol. Iny ","","Excento de ","$19.75 ","$50.00 ","$50.00 "
"CEFTRI","Ceftriaxona 500mg Sol. Iny ","","Excento de ","$19.22 ","$48.00 ","$48.00 "
"CEFTR ","CEFTRIAXONA 500MG SOL. ","","Excento de ","$34.10 ","$80.00 ","$80.00 "
"TRIAXO","Ceftriaxona inyectable 1g 3.5","","Excento de ","$39.88 ","$80.00 ","$80.00 "
"CEFTRI","Ceftriaxona inyectable 1g c/3.","","Excento de ","$25.20 ","$80.00 ","$80.00 "
"CEFTRI","CEFTRIAXONA SOL. ","","Excento de ","$28.17 ","$80.00 ","$80.00 "
"CEFTRI","Ceftriaxona sol.inyectable ","","Excento de ","$36.94 ","$80.00 ","$80.00 "
"AMCEF ","Ceftriaxona solución ","","Excento de ","$22.98 ","$50.00 ","$50.00 "
